CloudletID,Status,VMId,StartTime,FinishTime,ExecTime,TenantID
12,Success,2,0.1,247.55,247.45,3
3,Success,2,0.1,248.86,248.76,2
18,Success,2,0.1,263.69,263.59,0
13,Success,2,0.1,266.14,266.04,3
11,Success,2,0.1,268.54,268.44,1
8,Success,2,0.1,269.77,269.67,3
19,Success,0,0.1,285.09,284.99,1
0,Success,1,0.1,288.01,287.91,0
1,Success,0,0.1,288.3,288.2,0
10,Success,1,0.1,289.62,289.52,0
16,Success,0,0.1,294.21,294.11,1
7,Success,1,0.1,305.01,304.91,2
6,Success,0,0.1,305.59,305.49,1
4,Success,1,0.1,309.18,309.08,0
15,Success,0,0.1,309.95,309.85,1
14,Success,0,0.1,311.27,311.17,0
9,Success,0,0.1,312.62,312.52,3
5,Success,1,0.1,314.17,314.07,1
17,Success,1,0.1,316.24,316.14,1
2,Success,1,0.1,317.99,317.89,3
